start_station_name,end_station_name,Count of ride_id
2112 W Peterson Ave,2112 W Peterson Ave,84
2112 W Peterson Ave,Albany Ave & Montrose Ave,1
2112 W Peterson Ave,Ashland Ave & Augusta Blvd,1
2112 W Peterson Ave,Ashland Ave & Belle Plaine Ave,2
2112 W Peterson Ave,Ashland Ave & Chicago Ave,1
2112 W Peterson Ave,Avers Ave & Belmont Ave,3
2112 W Peterson Ave,Bosworth Ave & Howard St,1
2112 W Peterson Ave,Broadway & Argyle St,3
2112 W Peterson Ave,Broadway & Berwyn Ave,10
2112 W Peterson Ave,Broadway & Granville Ave,20
2112 W Peterson Ave,Broadway & Ridge Ave,24
2112 W Peterson Ave,Broadway & Sheridan Rd,1
2112 W Peterson Ave,Broadway & Thorndale Ave,16
2112 W Peterson Ave,Broadway & Waveland Ave,3
2112 W Peterson Ave,Broadway & Wilson - Truman College Vaccination Site,1
2112 W Peterson Ave,Broadway & Wilson Ave,9
2112 W Peterson Ave,Budlong Woods Library,6
2112 W Peterson Ave,California Ave & Fletcher St,2
2112 W Peterson Ave,Campbell Ave & Montrose Ave,2
2112 W Peterson Ave,Cannon Dr & Fullerton Ave,2
2112 W Peterson Ave,Chicago Ave & Washington St,3
2112 W Peterson Ave,Christiana Ave & Lawrence Ave,1
2112 W Peterson Ave,Clarendon Ave & Junior Ter,1
2112 W Peterson Ave,Clarendon Ave & Leland Ave,2
2112 W Peterson Ave,Clark St & Berwyn Ave,13
2112 W Peterson Ave,Clark St & Bryn Mawr Ave,31
2112 W Peterson Ave,Clark St & Columbia Ave,3
2112 W Peterson Ave,Clark St & Elmdale Ave,15
2112 W Peterson Ave,Clark St & Grace St,4
2112 W Peterson Ave,Clark St & Leland Ave,5
2112 W Peterson Ave,Clark St & Lunt Ave,7
2112 W Peterson Ave,Clark St & Montrose Ave,2
2112 W Peterson Ave,Clark St & Schreiber Ave,16
2112 W Peterson Ave,Clark St & Touhy Ave,2
2112 W Peterson Ave,Clark St & Wellington Ave,1
2112 W Peterson Ave,Clark St & Winnemac Ave,5
2112 W Peterson Ave,Clifton Ave & Armitage Ave,2
2112 W Peterson Ave,Damen Ave & Clybourn Ave,1
2112 W Peterson Ave,Damen Ave & Foster Ave,23
2112 W Peterson Ave,Damen Ave & Leland Ave,6
2112 W Peterson Ave,Damen Ave & Sunnyside Ave,3
2112 W Peterson Ave,Drake Ave & Montrose Ave,1
2112 W Peterson Ave,Dusable Harbor,1
2112 W Peterson Ave,Francisco Ave & Foster Ave,5
2112 W Peterson Ave,Franklin St & Jackson Blvd,2
2112 W Peterson Ave,Glenwood Ave & Morse Ave,19
2112 W Peterson Ave,Glenwood Ave & Touhy Ave,6
2112 W Peterson Ave,Greenview Ave & Fullerton Ave,1
2112 W Peterson Ave,Greenview Ave & Jarvis Ave,7
2112 W Peterson Ave,Hoyne Ave & Balmoral Ave,6
2112 W Peterson Ave,Kedzie Ave & Bryn Mawr Ave,12
2112 W Peterson Ave,Kedzie Ave & Foster Ave,2
2112 W Peterson Ave,Kedzie Ave & Leland Ave,4
2112 W Peterson Ave,Kimball Ave & Belmont Ave,2
2112 W Peterson Ave,Lake Shore Dr & Monroe St,1
2112 W Peterson Ave,Lakefront Trail & Bryn Mawr Ave,7
2112 W Peterson Ave,Larrabee St & Armitage Ave,1
2112 W Peterson Ave,Larrabee St & Webster Ave,1
2112 W Peterson Ave,Leavitt St & Chicago Ave,3
2112 W Peterson Ave,Leavitt St & Lawrence Ave,5
2112 W Peterson Ave,Lincoln Ave & Diversey Pkwy,1
2112 W Peterson Ave,Lincoln Ave & Fullerton Ave,2
2112 W Peterson Ave,Lincoln Ave & Sunnyside Ave,2
2112 W Peterson Ave,Lincoln Ave & Waveland Ave,1
2112 W Peterson Ave,Lincoln Ave & Winona St,22
2112 W Peterson Ave,Logan Blvd & Elston Ave,2
2112 W Peterson Ave,Manor Ave & Leland Ave,2
2112 W Peterson Ave,Maplewood Ave & Peterson Ave,14
2112 W Peterson Ave,Marine Dr & Ainslie St,52
2112 W Peterson Ave,Milwaukee Ave & Cuyler Ave,2
2112 W Peterson Ave,Oakley Ave & Touhy Ave,2
2112 W Peterson Ave,Paulina St & Howard St,2
2112 W Peterson Ave,Pine Grove Ave & Waveland Ave,1
2112 W Peterson Ave,Pulaski Rd & Eddy St (Temp),1
2112 W Peterson Ave,Racine Ave & Belmont Ave,4
2112 W Peterson Ave,Racine Ave & Fullerton Ave,1
2112 W Peterson Ave,Ravenswood Ave & Berteau Ave,3
2112 W Peterson Ave,Ravenswood Ave & Irving Park Rd,5
2112 W Peterson Ave,Ravenswood Ave & Lawrence Ave,15
2112 W Peterson Ave,Ridge Blvd & Howard St,4
2112 W Peterson Ave,Ridge Blvd & Touhy Ave,5
2112 W Peterson Ave,Rockwell St & Eastwood Ave,2
2112 W Peterson Ave,Sheffield Ave & Kingsbury St,1
2112 W Peterson Ave,Sheffield Ave & Waveland Ave,12
2112 W Peterson Ave,Sheffield Ave & Willow St,3
2112 W Peterson Ave,Sheridan Rd & Columbia Ave,10
2112 W Peterson Ave,Sheridan Rd & Greenleaf Ave,10
2112 W Peterson Ave,Sheridan Rd & Loyola Ave,22
2112 W Peterson Ave,Sheridan Rd & Montrose Ave,3
2112 W Peterson Ave,Southport Ave & Clark St,2
2112 W Peterson Ave,Southport Ave & Roscoe St,1
2112 W Peterson Ave,Southport Ave & Waveland Ave,2
2112 W Peterson Ave,St. Louis Ave & Balmoral Ave,1
2112 W Peterson Ave,Unknown,95
2112 W Peterson Ave,Warren Park East,107
2112 W Peterson Ave,Warren Park West,21
2112 W Peterson Ave,Washtenaw Ave & Lawrence Ave,17
2112 W Peterson Ave,Western Ave & Granville Ave,24
2112 W Peterson Ave,Western Ave & Howard St,9
2112 W Peterson Ave,Western Ave & Leland Ave,11
2112 W Peterson Ave,Western Ave & Lunt Ave,17
2112 W Peterson Ave,Western Ave & Roscoe St,1
